amount,transaction_type,location,transaction_hour,device_type,transaction_freq,account_age_days,failed_attempts,is_new_device
4887.38,atm_withdrawal,local,6,desktop,7,2850,1,1
5556.9,atm_withdrawal,local,13,desktop,5,1053,0,0
7043.34,atm_withdrawal,domestic,14,desktop,2,3648,0,1
2842.07,online_purchase,domestic,8,mobile,10,3480,1,0
1948.82,pos_payment,domestic,18,desktop,6,3348,1,0
7135.57,pos_payment,local,8,mobile,6,2547,1,0
3403.64,atm_withdrawal,local,18,mobile,3,2257,1,0
10047.21,atm_withdrawal,domestic,16,desktop,9,2296,1,1
6557.28,atm_withdrawal,local,9,desktop,3,774,0,1
12490.17,pos_payment,domestic,8,tablet,6,2189,1,1
10503.98,crypto_transfer,domestic,10,desktop,9,2552,1,0
4685.5,online_purchase,domestic,11,tablet,6,2654,0,0
12483.9,atm_withdrawal,domestic,9,tablet,10,1700,0,0
12071.47,online_purchase,domestic,20,desktop,4,2107,1,1
5812.18,atm_withdrawal,domestic,9,tablet,8,2588,1,1
4324.92,online_purchase,domestic,17,desktop,11,1981,0,0
10237.43,atm_withdrawal,domestic,8,desktop,7,3539,1,0
2096.29,atm_withdrawal,local,19,mobile,8,2790,1,1
2998.62,atm_withdrawal,domestic,9,mobile,5,735,1,1
110.43,atm_withdrawal,local,12,desktop,9,799,0,0
11803.87,crypto_transfer,domestic,13,mobile,10,2746,0,0
9972.76,crypto_transfer,domestic,7,desktop,8,1935,0,1
10577.48,online_purchase,domestic,17,mobile,10,3181,1,1
11710.94,atm_withdrawal,domestic,10,mobile,7,1236,1,1
6883.74,crypto_transfer,domestic,13,desktop,7,771,0,1
8531.12,pos_payment,local,13,desktop,5,1864,1,1
2096.95,online_purchase,local,14,tablet,8,2880,0,0
1717.95,pos_payment,local,7,tablet,10,3567,1,1
10026.04,online_purchase,domestic,8,tablet,8,3310,0,0
7066.44,online_purchase,domestic,8,mobile,4,2144,1,0
8478.54,pos_payment,local,10,desktop,7,3104,1,0
11474.98,pos_payment,domestic,8,mobile,9,936,1,1
9520.77,crypto_transfer,local,18,mobile,10,2401,0,0
8303.69,atm_withdrawal,domestic,13,mobile,3,3429,0,0
8388.11,crypto_transfer,domestic,14,desktop,3,1888,0,1
4559.25,atm_withdrawal,local,11,mobile,6,3534,1,0
462.27,pos_payment,domestic,10,desktop,3,1375,0,1
6550.76,online_purchase,domestic,13,mobile,11,1039,1,1
3218.77,online_purchase,local,10,desktop,6,2263,1,1
6127.93,crypto_transfer,domestic,10,desktop,7,3379,0,1
12801.05,crypto_transfer,domestic,12,mobile,4,1639,0,1
3509.09,crypto_transfer,domestic,13,mobile,6,3067,0,1
874.54,atm_withdrawal,domestic,19,tablet,11,1225,1,1
4220.76,online_purchase,domestic,9,tablet,6,2907,1,0
4403.91,crypto_transfer,local,12,mobile,2,2357,0,0
9928.75,pos_payment,domestic,8,tablet,4,1242,1,1
8355.48,online_purchase,domestic,11,mobile,11,2827,0,0
11758.47,crypto_transfer,local,16,tablet,11,2814,0,0
9964.7,crypto_transfer,local,8,mobile,4,2235,1,0
6095.8,atm_withdrawal,local,14,desktop,7,1389,1,1
12210.31,crypto_transfer,domestic,12,mobile,3,1117,0,1
2504.59,crypto_transfer,domestic,6,mobile,7,3525,1,1
340.68,pos_payment,domestic,19,desktop,3,2645,1,1
1350.72,pos_payment,local,11,mobile,9,3093,1,1
10835.39,atm_withdrawal,local,17,desktop,10,2765,1,1
6928.16,crypto_transfer,domestic,11,mobile,4,3152,0,1
2419.08,crypto_transfer,domestic,19,mobile,6,1205,0,1
7515.67,crypto_transfer,domestic,10,tablet,3,2181,1,1
2284.68,pos_payment,domestic,11,tablet,5,2678,1,0
10444.81,online_purchase,domestic,16,tablet,3,1033,0,0
6692.34,atm_withdrawal,domestic,10,mobile,4,1169,0,0
5715.32,atm_withdrawal,domestic,11,desktop,11,2582,0,1
4522.68,crypto_transfer,domestic,19,mobile,2,3267,0,1
9454.24,pos_payment,local,13,mobile,10,2659,0,1
5427.19,pos_payment,local,15,desktop,3,836,0,1
1314.75,online_purchase,local,15,desktop,7,3564,0,0
1770.09,crypto_transfer,local,17,desktop,6,1138,1,0
14428.46,atm_withdrawal,local,18,mobile,10,1410,1,0
13628.71,online_purchase,domestic,14,tablet,4,3577,0,1
10495.61,crypto_transfer,local,10,tablet,4,2982,0,0
3988.05,online_purchase,domestic,6,mobile,9,3465,0,0
14537.65,online_purchase,domestic,14,mobile,8,3085,1,1
11681.26,online_purchase,domestic,17,desktop,8,2633,1,0
10753.35,atm_withdrawal,domestic,12,desktop,2,1561,1,1
6740.42,online_purchase,local,8,tablet,4,1685,1,1
4083.62,crypto_transfer,domestic,10,desktop,9,3496,0,1
1445.86,pos_payment,local,13,mobile,7,3243,0,0
13539.04,atm_withdrawal,domestic,17,mobile,7,1780,0,0
6836.64,online_purchase,local,8,mobile,5,1820,0,0
3035.45,atm_withdrawal,local,14,desktop,4,1600,0,0
4589.35,online_purchase,domestic,16,mobile,10,1683,1,1
8688.29,crypto_transfer,domestic,19,tablet,8,3243,0,1
2651.59,atm_withdrawal,domestic,7,tablet,3,761,1,0
12849.21,atm_withdrawal,domestic,19,mobile,10,2004,0,0
11377.79,online_purchase,local,14,tablet,7,3483,0,0
10791.94,online_purchase,domestic,16,desktop,5,2315,1,0
6481.4,online_purchase,local,6,mobile,5,2046,0,1
9409.63,online_purchase,local,13,desktop,8,1643,0,0
8761.47,pos_payment,local,14,desktop,5,947,0,0
9747.7,crypto_transfer,local,10,mobile,7,1386,1,0
1266.66,crypto_transfer,local,12,tablet,8,995,0,1
6237.11,atm_withdrawal,domestic,13,mobile,4,1101,1,0
624.21,crypto_transfer,local,13,mobile,10,1208,1,0
7409.86,pos_payment,local,6,mobile,5,1612,1,1
4947.92,online_purchase,domestic,12,mobile,6,763,0,1
2167.86,online_purchase,local,9,mobile,8,3504,1,0
1551.04,pos_payment,domestic,18,desktop,7,1092,0,1
8814.67,atm_withdrawal,domestic,19,desktop,6,1849,1,0
2558.89,online_purchase,domestic,10,mobile,8,3298,1,0
13876.8,crypto_transfer,domestic,8,tablet,10,1042,0,1
8715.92,pos_payment,local,9,tablet,9,2143,0,0
5203.05,pos_payment,local,12,tablet,9,3197,1,1
8863.73,crypto_transfer,domestic,18,desktop,4,2357,1,0
342.06,crypto_transfer,domestic,13,tablet,6,1345,1,1
14378.39,crypto_transfer,domestic,7,desktop,7,2878,0,0
7234.55,atm_withdrawal,local,6,desktop,2,2720,1,1
11741.03,crypto_transfer,domestic,9,mobile,9,1788,1,1
1240.95,pos_payment,local,17,tablet,5,866,1,1
7299.87,pos_payment,local,14,mobile,4,754,0,0
7360.6,crypto_transfer,local,14,desktop,4,3140,1,1
14067.4,online_purchase,domestic,10,tablet,4,1669,1,0
8575.92,atm_withdrawal,local,19,mobile,5,1133,0,1
7102.34,online_purchase,domestic,10,desktop,7,2245,0,1
4004.63,atm_withdrawal,domestic,17,mobile,7,3419,0,0
4973.53,atm_withdrawal,domestic,18,desktop,4,756,0,0
7810.09,crypto_transfer,domestic,12,desktop,4,895,1,1
6583.67,crypto_transfer,domestic,18,mobile,9,1948,0,1
324.18,atm_withdrawal,local,10,tablet,3,2704,1,0
12394.38,atm_withdrawal,local,15,desktop,7,2121,0,0
13442.41,pos_payment,domestic,7,desktop,7,3351,1,0
2103.74,crypto_transfer,local,12,tablet,7,859,1,1
8310.54,crypto_transfer,local,9,mobile,10,1724,1,0
1628.64,online_purchase,local,7,desktop,7,1756,1,1
10083.6,online_purchase,local,6,tablet,11,1724,0,0
4218.51,pos_payment,local,10,desktop,10,2154,1,1
9891.34,atm_withdrawal,local,14,mobile,4,3039,1,0
10904.92,online_purchase,domestic,12,mobile,4,1659,0,0
11529.71,online_purchase,local,10,tablet,5,2904,1,1
1616.11,atm_withdrawal,domestic,19,tablet,5,1158,0,1
13740.18,atm_withdrawal,domestic,19,tablet,7,2368,1,0
3453.21,pos_payment,local,7,mobile,4,1826,0,0
561.19,online_purchase,domestic,11,tablet,4,2305,1,0
8322.79,pos_payment,domestic,15,desktop,5,1045,0,1
5563.83,pos_payment,domestic,16,tablet,8,3514,0,0
12446.85,atm_withdrawal,local,11,tablet,8,3376,0,1
12123.77,online_purchase,local,16,mobile,11,3143,1,0
4757.08,pos_payment,local,7,tablet,4,3337,0,1
14293.49,pos_payment,domestic,10,desktop,5,1159,1,1
4363.77,atm_withdrawal,domestic,16,tablet,10,2201,1,0
7725.86,atm_withdrawal,domestic,14,tablet,8,1659,1,0
3839.48,pos_payment,domestic,17,mobile,7,3321,0,1
14040.65,atm_withdrawal,domestic,6,tablet,7,1284,1,0
2469.12,atm_withdrawal,domestic,8,mobile,3,1373,1,0
673.66,atm_withdrawal,local,6,mobile,10,2735,0,0
6526.46,atm_withdrawal,domestic,8,mobile,7,990,0,0
14885.63,pos_payment,local,6,mobile,7,2869,1,0
13375.16,atm_withdrawal,local,13,tablet,7,1514,0,0
11229.12,atm_withdrawal,domestic,13,mobile,5,2660,0,0
13361.89,pos_payment,domestic,15,desktop,4,3279,0,0
13401.7,atm_withdrawal,local,11,desktop,9,2510,1,0
7782.88,online_purchase,domestic,6,tablet,6,1352,1,0
4738.94,crypto_transfer,local,15,desktop,2,874,1,1
11580.19,online_purchase,local,6,desktop,6,861,1,0
9924.92,pos_payment,local,18,tablet,10,990,0,1
5604.87,atm_withdrawal,domestic,6,desktop,5,2423,0,1
1417.0,online_purchase,domestic,13,tablet,6,1747,0,1
11201.84,online_purchase,local,18,tablet,7,1440,0,1
3936.91,crypto_transfer,local,14,tablet,9,1371,0,0
14052.2,atm_withdrawal,local,14,mobile,8,3500,1,1
3614.56,atm_withdrawal,local,15,mobile,9,1078,0,0
1841.37,pos_payment,domestic,7,desktop,3,1621,0,0
12466.69,online_purchase,domestic,15,desktop,10,2107,0,1
2299.26,pos_payment,domestic,18,mobile,10,732,0,0
2689.02,atm_withdrawal,local,19,desktop,7,3419,0,0
8990.74,pos_payment,domestic,12,mobile,7,1020,0,1
13118.43,online_purchase,local,11,mobile,4,2723,0,1
2946.52,crypto_transfer,local,16,tablet,6,2567,1,1
4654.86,online_purchase,domestic,13,mobile,4,3093,1,1
11661.07,pos_payment,domestic,9,tablet,2,2632,1,1
14577.4,pos_payment,domestic,8,desktop,11,2977,1,0
7511.12,atm_withdrawal,domestic,8,tablet,4,1961,1,0
2158.46,online_purchase,domestic,12,mobile,7,2157,1,0
209.04,atm_withdrawal,domestic,8,tablet,5,2779,1,0
3444.84,crypto_transfer,domestic,6,desktop,5,2390,1,1
1977.33,crypto_transfer,local,6,tablet,5,2224,0,1
10164.88,crypto_transfer,local,19,mobile,5,1331,0,1
1827.49,online_purchase,local,7,tablet,8,1484,0,1
7594.95,pos_payment,local,7,mobile,10,1777,0,1
10413.94,online_purchase,local,12,desktop,6,758,1,0
8716.75,pos_payment,domestic,9,mobile,11,1949,0,0
2996.63,atm_withdrawal,domestic,19,tablet,8,739,1,0
12061.87,pos_payment,domestic,18,desktop,7,2380,1,1
10731.11,pos_payment,local,11,tablet,4,2786,0,1
11084.76,crypto_transfer,domestic,12,desktop,3,2372,0,0
1965.87,atm_withdrawal,local,11,mobile,9,2755,0,0
1856.31,atm_withdrawal,local,6,desktop,7,731,0,0
13913.44,pos_payment,local,10,desktop,6,904,1,0
5963.67,online_purchase,local,7,mobile,9,2770,1,1
4514.23,online_purchase,local,7,tablet,5,3075,1,1
7328.76,pos_payment,domestic,13,tablet,9,2826,1,1
9942.96,crypto_transfer,domestic,7,desktop,5,2666,1,0
14334.35,pos_payment,domestic,7,desktop,10,2796,1,0
4296.69,crypto_transfer,local,12,tablet,4,2890,0,1
13872.13,online_purchase,domestic,12,tablet,3,2845,0,0
372.89,atm_withdrawal,domestic,8,mobile,8,2885,0,0
8327.97,pos_payment,local,6,desktop,3,947,1,0
9509.63,atm_withdrawal,domestic,8,tablet,10,916,1,0
1588.46,online_purchase,domestic,9,tablet,8,1785,1,0
2105.09,online_purchase,domestic,17,desktop,4,2271,1,0
6286.71,crypto_transfer,local,18,tablet,4,2957,1,0
14493.48,pos_payment,domestic,11,desktop,10,1708,0,1
8940.64,atm_withdrawal,local,11,desktop,7,1534,0,1
13995.35,atm_withdrawal,local,16,desktop,10,3012,1,1
12065.41,online_purchase,local,14,tablet,3,1459,1,0
7010.72,crypto_transfer,domestic,8,tablet,10,3127,1,1
11771.45,online_purchase,local,7,mobile,7,1248,0,1
267.55,crypto_transfer,local,12,mobile,8,1780,1,0
1637.16,online_purchase,local,14,desktop,5,1902,1,0
12441.43,atm_withdrawal,domestic,8,tablet,3,1605,1,1
11952.26,atm_withdrawal,domestic,10,desktop,10,741,0,0
3489.61,crypto_transfer,domestic,10,desktop,11,1418,1,0
7961.54,online_purchase,local,9,mobile,5,1716,1,0
9090.24,atm_withdrawal,local,12,mobile,10,1646,1,0
13016.08,atm_withdrawal,domestic,15,tablet,3,3024,1,0
9046.61,atm_withdrawal,local,13,desktop,3,869,1,0
6188.57,online_purchase,domestic,9,tablet,3,1866,1,1
5612.76,crypto_transfer,domestic,7,mobile,5,840,1,0
6388.23,atm_withdrawal,domestic,17,mobile,2,3448,0,1
9778.97,atm_withdrawal,domestic,12,tablet,5,3038,0,0
13012.36,atm_withdrawal,domestic,7,tablet,3,3598,0,1
6808.45,crypto_transfer,local,9,tablet,8,3388,1,1
3717.59,atm_withdrawal,domestic,17,mobile,9,1653,0,0
3549.94,atm_withdrawal,local,16,tablet,8,2750,0,0
11190.21,atm_withdrawal,domestic,18,desktop,4,1626,1,1
12248.53,atm_withdrawal,local,14,tablet,9,3324,1,0
1579.17,online_purchase,local,12,tablet,4,1930,0,1
998.38,pos_payment,domestic,12,desktop,9,1828,0,0
8916.5,online_purchase,local,8,mobile,7,3399,1,0
2192.6,online_purchase,local,15,tablet,5,3173,0,0
12369.96,online_purchase,domestic,14,desktop,3,3552,0,1
4655.02,atm_withdrawal,local,8,desktop,9,925,0,0
2158.08,crypto_transfer,domestic,18,desktop,10,1441,0,1
13814.56,pos_payment,local,11,tablet,8,1609,1,0
2482.98,crypto_transfer,local,6,mobile,10,1970,0,1
4270.8,atm_withdrawal,local,10,tablet,10,2112,1,1
2304.2,crypto_transfer,domestic,18,desktop,4,1582,0,1
1732.35,online_purchase,domestic,18,mobile,8,3038,0,0
317.22,pos_payment,local,13,mobile,5,1382,0,1
830.93,crypto_transfer,domestic,19,desktop,6,2764,1,1
2619.62,pos_payment,domestic,18,tablet,3,3217,0,0
800.73,crypto_transfer,domestic,17,desktop,11,2493,0,0
8867.16,atm_withdrawal,domestic,18,mobile,8,1765,0,1
10210.72,online_purchase,domestic,11,desktop,4,1279,1,0
5904.46,crypto_transfer,domestic,16,mobile,5,1123,0,1
4769.87,online_purchase,domestic,14,mobile,6,2903,1,0
7567.89,crypto_transfer,domestic,16,tablet,9,2100,1,0
13125.07,pos_payment,local,8,tablet,10,866,1,1
12766.97,crypto_transfer,local,16,mobile,5,3603,1,1
652.13,atm_withdrawal,domestic,19,desktop,6,2690,0,0
2722.48,crypto_transfer,local,10,desktop,7,3195,1,1
3551.17,online_purchase,local,19,desktop,5,2010,1,0
3740.81,atm_withdrawal,local,11,tablet,6,3520,0,0
8568.49,online_purchase,local,9,mobile,3,1313,1,1
6243.94,crypto_transfer,domestic,7,tablet,3,1271,0,1
738.81,pos_payment,domestic,17,desktop,6,3330,1,0
5604.21,crypto_transfer,domestic,13,mobile,10,3334,1,1
7856.29,crypto_transfer,local,10,tablet,5,2188,1,0
1525.08,atm_withdrawal,domestic,14,tablet,4,1098,0,1
12501.88,online_purchase,local,10,desktop,9,1622,1,1
779.43,crypto_transfer,domestic,12,tablet,10,2932,1,1
13872.63,atm_withdrawal,domestic,18,mobile,6,3200,0,0
1486.7,online_purchase,domestic,15,desktop,2,1746,1,0
12653.62,crypto_transfer,domestic,16,desktop,8,910,1,0
13539.8,crypto_transfer,domestic,14,tablet,6,2674,1,1
14693.56,atm_withdrawal,domestic,19,desktop,8,2890,1,1
12030.39,crypto_transfer,domestic,9,tablet,4,1969,0,1
11692.16,online_purchase,domestic,9,mobile,2,2433,0,0
9637.25,online_purchase,local,7,desktop,5,3613,0,1
11684.95,atm_withdrawal,domestic,13,mobile,8,1446,0,1
2018.28,pos_payment,local,14,desktop,5,2403,0,0
8041.02,online_purchase,local,16,mobile,4,2514,1,0
7713.34,online_purchase,domestic,10,tablet,6,2334,0,0
12863.58,pos_payment,domestic,6,mobile,9,3268,1,0
6941.99,crypto_transfer,local,14,tablet,3,2497,0,1
5776.34,pos_payment,local,20,tablet,8,2213,0,1
9593.45,crypto_transfer,local,10,desktop,8,1090,1,0
3996.95,crypto_transfer,domestic,8,tablet,5,2784,1,1
2096.53,pos_payment,local,10,tablet,11,1116,0,0
7168.16,pos_payment,domestic,12,mobile,10,808,1,1
6253.34,crypto_transfer,domestic,9,tablet,5,2157,0,1
3488.55,atm_withdrawal,domestic,11,desktop,2,2402,0,1
5512.68,online_purchase,domestic,15,tablet,5,3647,0,1
5495.89,crypto_transfer,local,11,tablet,4,2810,1,1
4912.43,atm_withdrawal,local,11,tablet,7,3208,0,1
5691.96,crypto_transfer,domestic,6,desktop,10,1742,1,0
10286.15,atm_withdrawal,local,18,mobile,10,2216,1,1
4453.15,crypto_transfer,local,11,mobile,5,3575,0,1
14232.87,online_purchase,local,10,mobile,6,1949,1,1
13745.22,pos_payment,local,7,tablet,2,3087,0,0
7213.66,atm_withdrawal,domestic,15,desktop,7,2266,0,0
4925.42,atm_withdrawal,domestic,18,desktop,3,1385,0,1
8031.52,atm_withdrawal,domestic,6,desktop,10,2425,0,1
12728.41,crypto_transfer,domestic,8,mobile,10,1367,0,1
9788.81,atm_withdrawal,domestic,8,desktop,4,740,0,1
12065.88,crypto_transfer,domestic,14,desktop,8,1419,1,1
7990.83,atm_withdrawal,domestic,18,tablet,7,1295,0,1
9493.76,online_purchase,domestic,12,mobile,9,1814,0,1
4322.33,crypto_transfer,local,10,tablet,6,3325,1,0
11023.4,online_purchase,domestic,16,mobile,4,1863,0,1
3036.07,atm_withdrawal,local,16,desktop,8,3198,1,0
10421.97,crypto_transfer,local,9,desktop,3,2353,1,1
12910.79,crypto_transfer,local,8,tablet,7,753,0,1
1981.54,crypto_transfer,local,11,desktop,4,1282,0,1
9215.7,atm_withdrawal,local,16,mobile,8,3449,0,1
1426.44,crypto_transfer,domestic,15,desktop,9,2495,0,0
10885.73,atm_withdrawal,domestic,15,desktop,3,3444,1,1
1267.4,pos_payment,local,17,desktop,6,1636,1,1
14039.1,pos_payment,domestic,10,mobile,8,2823,1,1
2061.12,online_purchase,local,10,mobile,3,2984,0,0
14383.2,atm_withdrawal,domestic,6,desktop,7,3579,1,1
12013.26,atm_withdrawal,local,18,mobile,8,784,0,0
8905.23,atm_withdrawal,local,14,desktop,5,3511,1,0
11739.36,atm_withdrawal,domestic,10,mobile,9,1874,1,1
11926.72,pos_payment,domestic,7,tablet,6,3177,0,1
14190.41,online_purchase,domestic,16,mobile,8,2321,0,1
3800.75,online_purchase,domestic,16,desktop,3,2379,0,1
8851.14,crypto_transfer,domestic,15,tablet,2,1780,1,1
1425.74,atm_withdrawal,local,9,desktop,2,3149,0,0
9242.49,pos_payment,local,18,mobile,10,1502,1,0
2569.37,pos_payment,local,16,mobile,10,2168,1,0
8474.26,pos_payment,local,15,desktop,9,2366,0,1
8586.46,atm_withdrawal,local,15,mobile,4,2898,1,1
6989.78,atm_withdrawal,domestic,18,tablet,7,2108,0,1
7839.48,crypto_transfer,local,19,tablet,9,2717,0,1
11458.85,crypto_transfer,domestic,14,tablet,8,2147,1,1
11988.67,atm_withdrawal,domestic,12,tablet,3,2655,0,0
7382.3,pos_payment,domestic,11,desktop,10,2699,1,0
8993.9,crypto_transfer,domestic,17,mobile,3,2802,1,0
13968.54,online_purchase,local,15,desktop,3,3134,0,0
1796.0,crypto_transfer,local,7,mobile,10,2309,1,0
1756.55,atm_withdrawal,domestic,8,tablet,6,1295,0,1
1315.64,crypto_transfer,domestic,18,desktop,5,2715,1,1
9867.95,pos_payment,local,18,desktop,7,956,1,0
6279.12,crypto_transfer,local,19,tablet,11,1370,1,1
11614.82,online_purchase,domestic,12,desktop,3,3043,1,1
10068.47,online_purchase,domestic,17,desktop,9,2001,0,0
5004.57,crypto_transfer,local,17,mobile,5,2185,1,0
13475.5,pos_payment,domestic,10,mobile,3,3613,0,1
11437.98,pos_payment,domestic,8,mobile,6,1417,1,1
4058.02,online_purchase,local,20,desktop,7,788,0,0
5462.88,online_purchase,domestic,6,tablet,4,1056,0,0
4716.6,crypto_transfer,local,14,mobile,6,1445,0,0
2364.17,atm_withdrawal,domestic,15,desktop,8,2850,0,0
2216.75,pos_payment,domestic,15,mobile,7,2996,0,0
14041.91,atm_withdrawal,local,9,mobile,8,2382,0,1
6568.56,atm_withdrawal,domestic,16,mobile,9,1475,1,1
5749.8,online_purchase,domestic,9,desktop,6,2254,1,1
10945.29,crypto_transfer,domestic,17,desktop,6,774,0,1
8294.9,crypto_transfer,local,9,desktop,6,2721,1,0
14042.1,online_purchase,domestic,15,desktop,7,2524,0,0
11704.52,atm_withdrawal,domestic,17,desktop,3,794,1,0
7190.54,pos_payment,domestic,8,mobile,5,3116,0,1
5645.39,atm_withdrawal,local,9,tablet,3,2959,1,0
14799.47,pos_payment,domestic,17,desktop,5,1631,0,1
10766.4,atm_withdrawal,domestic,7,mobile,11,2586,0,0
14267.92,online_purchase,domestic,8,desktop,7,2487,1,1
1777.18,atm_withdrawal,domestic,12,desktop,6,1149,1,1
12758.01,pos_payment,local,19,tablet,7,1295,1,1
9556.11,online_purchase,local,14,mobile,8,2725,0,0
1828.83,crypto_transfer,domestic,11,tablet,6,3456,1,1
8823.87,online_purchase,domestic,19,desktop,6,2413,1,1
10291.45,online_purchase,local,12,mobile,8,2388,0,0
184.54,pos_payment,domestic,12,desktop,3,2619,0,0
6814.77,pos_payment,domestic,11,tablet,7,2017,0,0
12380.99,atm_withdrawal,local,10,mobile,7,889,0,0
4430.39,atm_withdrawal,local,10,tablet,9,1888,0,1
6878.22,online_purchase,domestic,15,tablet,11,3359,0,0
6634.71,pos_payment,domestic,6,tablet,9,3081,1,1
4528.91,atm_withdrawal,local,15,mobile,6,3438,1,1
13776.63,online_purchase,domestic,9,desktop,3,1177,1,1
11719.41,atm_withdrawal,domestic,11,desktop,7,2208,1,1
1658.83,crypto_transfer,domestic,8,desktop,9,2438,0,1
14955.52,atm_withdrawal,domestic,13,tablet,10,1344,1,1
13188.0,crypto_transfer,domestic,16,mobile,9,1317,1,1
4258.63,atm_withdrawal,domestic,11,desktop,4,3014,1,0
12553.45,online_purchase,local,8,tablet,8,2692,0,1
1596.29,atm_withdrawal,domestic,9,tablet,10,2620,1,0
14986.57,atm_withdrawal,local,17,desktop,8,1510,1,1
9985.27,online_purchase,domestic,9,tablet,8,2210,1,0
9751.88,pos_payment,local,16,desktop,6,798,1,0
1356.61,atm_withdrawal,domestic,10,desktop,8,1110,1,1
13455.5,pos_payment,local,8,desktop,5,2244,1,1
434.99,atm_withdrawal,local,16,mobile,3,1635,1,0
3612.42,atm_withdrawal,local,12,mobile,9,3550,1,1
2145.33,atm_withdrawal,domestic,6,tablet,10,2107,1,0
11651.52,online_purchase,domestic,19,mobile,10,975,0,0
2973.06,pos_payment,local,8,desktop,5,783,1,1
13659.57,online_purchase,domestic,11,desktop,3,2848,0,0
9844.04,pos_payment,domestic,11,desktop,4,1231,0,0
542.44,crypto_transfer,local,13,desktop,9,1279,0,1
81.45,crypto_transfer,domestic,17,tablet,8,1968,0,1
774.87,atm_withdrawal,domestic,6,tablet,11,1502,0,1
9088.88,atm_withdrawal,local,19,tablet,5,2531,0,1
12022.23,crypto_transfer,domestic,15,desktop,7,2149,0,0
3578.29,atm_withdrawal,local,19,tablet,9,1056,1,1
12741.13,atm_withdrawal,domestic,17,desktop,4,3022,1,0
858.48,crypto_transfer,domestic,19,desktop,10,1974,1,1
12014.46,crypto_transfer,domestic,14,tablet,7,2514,0,0
13916.93,crypto_transfer,domestic,11,tablet,2,742,0,0
11581.63,online_purchase,domestic,12,mobile,2,2559,1,0
10471.81,crypto_transfer,domestic,15,tablet,10,1556,0,1
12569.7,online_purchase,local,12,tablet,8,2174,1,1
602.27,pos_payment,local,16,tablet,9,1600,1,0
3026.73,crypto_transfer,domestic,7,tablet,9,3639,1,1
1873.86,pos_payment,local,17,tablet,6,1405,0,1
7567.96,crypto_transfer,local,9,mobile,9,3396,0,1
11177.82,atm_withdrawal,local,19,mobile,10,3411,1,1
9450.18,atm_withdrawal,domestic,8,mobile,3,1960,0,0
12766.97,atm_withdrawal,local,8,mobile,9,1618,1,0
2328.19,atm_withdrawal,local,17,mobile,5,1843,1,0
11019.32,pos_payment,local,17,desktop,5,3619,0,1
2895.62,atm_withdrawal,local,16,mobile,6,2537,0,0
4061.38,pos_payment,domestic,19,mobile,10,2321,0,0
10648.57,atm_withdrawal,local,9,desktop,2,836,0,1
14703.07,atm_withdrawal,domestic,17,tablet,6,3206,1,0
9173.15,online_purchase,domestic,11,mobile,8,975,1,1
817.5,pos_payment,local,13,desktop,3,868,1,0
9244.63,crypto_transfer,domestic,12,desktop,9,1533,0,0
635.26,crypto_transfer,domestic,6,tablet,10,2120,0,1
13262.19,atm_withdrawal,domestic,14,mobile,3,3344,1,1
10643.67,atm_withdrawal,local,16,tablet,3,3037,1,1
2596.92,pos_payment,local,8,mobile,11,1308,1,0
1375.82,pos_payment,domestic,19,mobile,4,1817,1,1
2753.0,online_purchase,domestic,13,mobile,3,3008,1,0
14700.41,pos_payment,domestic,8,tablet,10,2269,0,1
